id,url,ticker,indice_sector,periodo,fecha,titulo,regimen_mercado
0,https://www.cnbc.com/2008/10/02/36-hours-of-alarm-and-action-as-crisis-spiraled.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-02,36 Hours of Alarm and Action as Crisis Spiraled,bearish
1,https://www.cnbc.com/2008/10/03/the-sec-rule-that-let-banks-pile-on-debt.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-03,The SEC Rule that Let Banks Pile on Debt,bearish
2,https://www.cnbc.com/2008/09/17/risky-real-estate-deals-helped-doom-lehman.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-17,Risky Real Estate Deals Helped Doom Lehman,bearish
3,https://www.cnbc.com/2008/09/13/fed-street-draft-deal-to-buy-lehmans-bad-assets.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-13,"Fed, Street Draft Deal To Buy Lehman's Bad Assets",bearish
4,https://www.cnbc.com/2008/09/14/bloody-sunday-wall-street-is-hit-by-financial-tsunami.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-15,Bloody Sunday: Wall Street Is Hit by Financial Tsunami,bearish
5,https://www.cnbc.com/2008/09/15/lehman-brothers-files-for-bankruptcy-scrambles-to-sell-key-business.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-15,"Lehman Brothers Files For Bankruptcy, Scrambles to Sell Key Business",bearish
6,https://www.cnbc.com/2008/11/09/how-thundering-merrill-faltered-and-fell.html,^GSPC,S&P 500,caidas crisis financiera,2008-11-09,How Thundering Merrill Faltered and Fell,bearish
7,https://www.cnbc.com/2008/09/14/street-prepares-for-worst-as-lehman-deal-stalls.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-14,Street Prepares for Worst As Lehman Deal Stalls,bearish
8,https://www.cnbc.com/2008/10/06/jpmorgan-froze-lehman-assets-ahead-of-bankruptcy.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-06,JPMorgan Froze Lehman Assets Ahead of Bankruptcy,bearish
9,https://www.cnbc.com/2008/10/10/lehman-swaps-auction-what-it-means.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-10,Lehman Swaps Auction: What It Means,bearish
10,https://cincodias.elpais.com/cincodias/2008/12/27/mercados/1230343305_850215.html,^GSPC,S&P 500,caidas crisis financiera,2008-12-26,Las 'subprime' hacen saltar el sistema financiero por los aires,bearish
11,https://cincodias.elpais.com/cincodias/2008/09/16/empresas/1221572402_850215.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-15,Lehman insta una quiebra histórica y desestabiliza Wall Street,bearish
12,https://cincodias.elpais.com/cincodias/2008/09/27/mercados/1222477309_850215.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-26,¿Qué pasaría sin el plan de rescate bancario en EE UU?,bearish
13,https://cincodias.elpais.com/cincodias/2008/10/04/mercados/1223082100_850215.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-03,Los motivos de una crisis con efectos aún desconocidos,bearish
14,https://cincodias.elpais.com/cincodias/2008/09/09/economia/1221072949_850215.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-08,Un riesgo inaceptable,bearish
15,https://www.cnbc.com/2020/03/12/fed-to-pump-more-than-500-billion-into-short-term-bank-funding-expand-types-of-security-purchases.html,^GSPC,S&P 500,caidas COVID-19,2020-03-12,Fed to pump in more than $1 trillion in dramatic market intervention,bearish
16,https://www.cnbc.com/2020/03/23/this-was-the-fastest-30percent-stock-market-decline-ever.html,^GSPC,S&P 500,caidas COVID-19,2020-03-23,This was the fastest 30% stock market decline ever,bearish
17,https://www.cnbc.com/2020/03/12/markets-are-desperate-for-government-action-as-they-plunge-deeper-into-bear-territory.html,^GSPC,S&P 500,caidas COVID-19,2020-03-12,Markets are desperate for government action as they plunge deeper into bear territory,bearish
18,https://finance.yahoo.com/news/global-markets-fed-support-fails-140015425.html,^GSPC,S&P 500,caidas COVID-19,2020-03-23,GLOBAL MARKETS-Fed support fails to pull stocks out of dive,bearish
19,https://www.cnbc.com/2020/03/08/dow-futures-drop-700-points-as-all-out-oil-price-war-adds-to-coronavirus-stress.html,^GSPC,S&P 500,caidas COVID-19,2020-03-08,"Dow sinks 2,000 points in worst day since 2008, S&P 500 drops 7%",bearish
20,https://www.cnbc.com/2020/03/19/fed-to-shore-up-prime-money-market-funds-amid-wall-street-rout.html,^GSPC,S&P 500,caidas COVID-19,2020-03-19,The Fed to shore up prime money market funds amid Wall Street rout,bearish
21,https://www.cnbc.com/2020/03/15/traders-await-futures-open-after-fed-cuts-rates-launches-easing-program.html,^GSPC,S&P 500,caidas COVID-19,2020-03-15,"Dow drops nearly 3,000 points, as coronavirus collapse continues; worst day since '87",bearish
22,https://www.cnbc.com/2020/03/19/stock-market-futures-open-to-close-news.html,^GSPC,S&P 500,caidas COVID-19,2020-03-19,Stock market today: Dow tumbles 900 points to end Wall Street's worst week since 2008,bearish
23,https://www.cnbc.com/2020/03/16/stock-market-today-live.html,^GSPC,S&P 500,caidas COVID-19,2020-03-16,"Stock market live Monday: Dow drops 13%, Trump says recession possible",bearish
24,https://www.ft.com/content/c789f080-6203-11ea-a6cd-df28cc3c6a68?syn-25a6b1a6=1,^GSPC,S&P 500,caidas COVID-19,2020-03-09,"How this market crash is different from 2008, and the same",bearish
25,https://www.cnbc.com/2020/03/11/futures-are-steady-wednesday-night-after-dow-closes-in-bear-market-traders-await-trump.html,^GSPC,S&P 500,caidas COVID-19,2020-03-11,Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash,bearish
26,https://finance.yahoo.com/news/stock-market-news-live-march-12-013620137.html,^GSPC,S&P 500,caidas COVID-19,2020-03-12,Stock market news live: Dow plunges 10% in biggest one-day percentage drop since 1987,bearish
27,https://www.cnbc.com/2020/03/17/stock-futures-fall-slightly-after-market-rebounds-on-hopes-for-1-trillion-stimulus.html,^GSPC,S&P 500,caidas COVID-19,2020-03-17,"Stock market today: Dow drops 1,300 points, S&P 500 loses 5% as coronavirus market sell-off reaches new low",bearish
28,https://www.cnbc.com/2020/02/25/coronavirus-wipes-out-1point7-trillion-in-us-stock-market-value-in-two-days.html,^GSPC,S&P 500,caidas COVID-19,2020-02-25,Coronavirus wipes out $1.7 trillion in US stock market value in two days,bearish
29,https://www.cnbc.com/2020/03/22/breaking-down-this-sell-off-among-the-most-extreme-and-rare-wall-street-has-ever-seen.html,^GSPC,S&P 500,caidas COVID-19,2020-03-22,"Breaking down this sell-off, among the most extreme and rare Wall Street has ever seen",bearish
30,https://www.cnbc.com/2020/03/12/stock-market-today-live.html,^GSPC,S&P 500,caidas COVID-19,2020-03-12,"Stock market live Thursday: Dow tanks 2,300 in worst day since Black Monday, S&P 500 bear market",bearish
31,https://finance.yahoo.com/news/fed-intervened-prevent-financial-crisis-112813149.html,^GSPC,S&P 500,caidas COVID-19,2020-03-15,"Fed Intervened to Prevent Financial Crisis, Not to Save the Stock Market",bearish
32,https://www.cnbc.com/2020/03/15/this-is-a-wounded-fragile-stock-market-raging-for-a-proper-policy-response.html,^GSPC,S&P 500,caidas COVID-19,2020-03-16,"This is a wounded, fragile stock market raging for a proper policy response",bearish
