id,url,ticker,indice_sector,periodo,fecha,regimen_mercado,return_1d,return_5d,return_20d,market_reaction_1d,market_reaction_5d,market_reaction_20d,price_t0,price_t1,price_t5,price_t20,enrich_status
0,https://www.cnbc.com/2008/10/02/36-hours-of-alarm-and-action-as-crisis-spiraled.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-02,bearish,-1.3506,-18.3401,-14.3761,neutral,bearish,bearish,1114.28,1099.23,909.92,954.09,ok
1,https://www.cnbc.com/2008/10/03/the-sec-rule-that-let-banks-pile-on-debt.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-03,bearish,-3.8518,-18.1955,-11.8701,bearish,bearish,bearish,1099.23,1056.89,899.22,968.75,ok
2,https://www.cnbc.com/2008/09/17/risky-real-estate-deals-helped-doom-lehman.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-17,bearish,4.3342,2.5493,-21.4936,bullish,bullish,bearish,1156.39,1206.51,1185.87,907.84,ok
3,https://www.cnbc.com/2008/09/13/fed-street-draft-deal-to-buy-lehmans-bad-assets.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-13,bearish,1.7523,1.2065,-15.8757,neutral,neutral,bearish,1192.7,1213.6,1207.09,1003.35,ok
4,https://www.cnbc.com/2008/09/14/bloody-sunday-wall-street-is-hit-by-financial-tsunami.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-15,bearish,1.7523,1.2065,-15.8757,neutral,neutral,bearish,1192.7,1213.6,1207.09,1003.35,ok
5,https://www.cnbc.com/2008/09/15/lehman-brothers-files-for-bankruptcy-scrambles-to-sell-key-business.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-15,bearish,1.7523,1.2065,-15.8757,neutral,neutral,bearish,1192.7,1213.6,1207.09,1003.35,ok
6,https://www.cnbc.com/2008/11/09/how-thundering-merrill-faltered-and-fell.html,^GSPC,S&P 500,caidas crisis financiera,2008-11-09,bearish,-2.2041,-7.4477,-3.3224,bearish,bearish,bearish,919.21,898.95,850.75,888.67,ok
7,https://www.cnbc.com/2008/09/14/street-prepares-for-worst-as-lehman-deal-stalls.html,^GSPC,S&P 500,caidas crisis financiera,2008-09-14,bearish,1.7523,1.2065,-15.8757,neutral,neutral,bearish,1192.7,1213.6,1207.09,1003.35,ok
8,https://www.cnbc.com/2008/10/06/jpmorgan-froze-lehman-assets-ahead-of-bankruptcy.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-06,bearish,-5.7395,-5.0658,-8.5714,bearish,bearish,bearish,1056.89,996.23,1003.35,966.3,ok
9,https://www.cnbc.com/2008/10/10/lehman-swaps-auction-what-it-means.html,^GSPC,S&P 500,caidas crisis financiera,2008-10-10,bearish,11.58,4.5962,3.5331,bullish,bullish,bullish,899.22,1003.35,940.55,930.99,ok
