ventana,train_hasta_fecha_corte,test_desde,test_hasta,n_noticias_test,n_noticias_train_acumuladas
1,2000-03-15,2000-03-16,2001-09-12,18,0
2,2001-09-12,2001-09-13,2001-10-18,18,18
3,2001-10-24,2001-10-25,2003-04-03,18,36
4,2003-04-02,2003-04-03,2003-06-05,18,54
5,2003-06-08,2003-06-09,2003-10-23,18,72
6,2003-10-29,2003-10-30,2004-08-19,18,90
7,2004-08-19,2004-08-20,2008-05-30,18,108
8,2008-06-04,2008-06-05,2008-09-15,18,126
9,2008-09-16,2008-09-17,2008-11-21,18,144
10,2008-11-30,2008-12-01,2009-03-18,18,162
11,2009-03-17,2009-03-18,2009-04-14,18,180
12,2009-04-14,2009-04-15,2009-08-28,18,198
13,2009-08-30,2009-08-31,2010-01-29,18,216
14,2010-02-03,2010-02-04,2011-06-15,18,234
15,2011-06-15,2011-06-16,2011-08-01,18,252
16,2011-07-31,2011-08-01,2011-08-08,18,270
17,2011-08-07,2011-08-08,2011-08-23,18,288
18,2011-08-30,2011-08-31,2014-05-14,18,306
19,2014-05-14,2014-05-15,2014-06-05,18,324
20,2014-06-05,2014-06-06,2015-01-27,18,342
21,2015-02-17,2015-02-18,2015-05-01,18,360
22,2015-05-14,2015-05-15,2015-06-08,18,378
23,2015-06-08,2015-06-09,2015-06-12,18,396
24,2015-06-11,2015-06-12,2015-06-25,18,414
25,2015-06-24,2015-06-25,2015-08-11,18,432
26,2015-08-11,2015-08-12,2016-01-18,18,450
27,2016-01-19,2016-01-20,2016-06-07,18,468
28,2016-06-08,2016-06-09,2017-05-10,18,486
29,2017-05-09,2017-05-10,2018-06-08,18,504
30,2018-06-11,2018-06-12,2018-09-08,18,522
31,2018-09-09,2018-09-10,2018-10-15,18,540
32,2018-10-16,2018-10-17,2018-11-30,18,558
33,2018-12-02,2018-12-03,2018-12-26,18,576
34,2018-12-25,2018-12-26,2019-05-30,18,594
35,2019-05-30,2019-05-31,2019-06-13,18,612
36,2019-06-12,2019-06-13,2019-07-08,18,630
37,2019-07-08,2019-07-09,2019-10-09,18,648
38,2019-10-08,2019-10-09,2020-03-08,18,666
39,2020-03-08,2020-03-09,2020-03-12,18,684
40,2020-03-11,2020-03-12,2020-03-13,18,702
41,2020-03-12,2020-03-13,2020-03-16,18,720
42,2020-03-15,2020-03-16,2020-03-18,18,738
43,2020-03-18,2020-03-19,2020-03-23,18,756
44,2020-03-22,2020-03-23,2020-03-30,18,774
45,2020-03-30,2020-03-31,2020-04-20,18,792
46,2020-04-19,2020-04-20,2020-05-04,18,810
47,2020-05-06,2020-05-07,2020-06-20,18,828
48,2020-06-21,2020-06-22,2020-08-29,18,846
49,2020-08-28,2020-08-29,2020-11-10,18,864
50,2020-11-17,2020-11-18,2021-02-05,18,882
51,2021-02-07,2021-02-08,2021-03-09,18,900
52,2021-03-08,2021-03-09,2021-04-05,18,918
53,2021-04-05,2021-04-06,2021-05-17,18,936
54,2021-05-19,2021-05-20,2021-06-18,18,954
55,2021-06-20,2021-06-21,2021-10-05,18,972
56,2021-10-13,2021-10-14,2022-01-24,18,990
57,2022-01-23,2022-01-24,2022-02-24,18,1008
58,2022-02-23,2022-02-24,2022-03-09,18,1026
59,2022-03-08,2022-03-09,2022-04-27,18,1044
60,2022-04-28,2022-04-29,2022-06-01,18,1062
61,2022-05-31,2022-06-01,2022-06-13,18,1080
62,2022-06-12,2022-06-13,2022-07-05,18,1098
63,2022-07-04,2022-07-05,2022-10-02,18,1116
64,2022-10-03,2022-10-04,2023-01-11,18,1134
65,2023-01-12,2023-01-13,2023-04-10,18,1152
66,2023-04-14,2023-04-15,2023-05-26,18,1170
67,2023-05-25,2023-05-26,2023-06-07,18,1188
68,2023-06-06,2023-06-07,2023-06-09,18,1206
69,2023-06-11,2023-06-12,2023-06-18,18,1224
70,2023-06-19,2023-06-20,2023-07-19,18,1242
71,2023-07-19,2023-07-20,2023-08-23,18,1260
72,2023-08-22,2023-08-23,2023-10-08,18,1278
73,2023-10-08,2023-10-09,2023-10-13,18,1296
74,2023-10-15,2023-10-16,2023-11-29,18,1314
75,2023-12-14,2023-12-15,2024-02-05,18,1332
76,2024-02-06,2024-02-07,2024-04-16,18,1350
77,2024-04-19,2024-04-20,2024-07-09,23,1368
